"","Childhood","Sex","Essential","Number_of_Users","Age"
"1","Australia","Female","No",16,22.9
"2","Australia","Female","Yes",12,24.8
"3","Australia","Male","No",6,24.2
"4","Australia","Male","Yes",8,23.6
"5","Bangladesh","Female","No",1,22
"6","Brazil","Female","No",1,26
"7","Brazil","Male","Yes",1,25
"8","Colombia","Male","No",1,26
"9","Mexico","Male","Yes",1,28
"10","Nepal","Female","Yes",1,27
"11","Pakistan","Female","No",1,29
"12","Pakistan","Male","Yes",1,33
"13","Spain","Female","No",1,21
"14","United Kingdom of Great Britain and Northern Ireland","Male","No",1,26
"15","Viet Nam","Female","No",6,31.5
"16","Viet Nam","Female","Yes",3,35.3
