ParticipantID,Nationality,TestImportance,Risk,Question,Attitude,Study_Type,Condition,Timepoint,StartDate,Age,Sex,Vic,Childhood,Essential,Reading,FM
P1,Australia,100,Low,1,-22,Pre-Test,Control,Pre-Test,14/10/2020 22:43,23,Female,Regional Vic,Australia,No,No,Yes
P1,Australia,100,Minimal,3,38,Pre-Test,Control,Pre-Test,14/10/2020 22:43,23,Female,Regional Vic,Australia,No,No,Yes
P1,Australia,100,High,5,-39,Pre-Test,Control,Pre-Test,14/10/2020 22:43,23,Female,Regional Vic,Australia,No,No,Yes
P1,Australia,100,High,7,-50,Pre-Test,Control,Pre-Test,14/10/2020 22:43,23,Female,Regional Vic,Australia,No,No,Yes
P1,Australia,100,Minimal,9,50,Pre-Test,Control,Pre-Test,14/10/2020 22:43,23,Female,Regional Vic,Australia,No,No,Yes
P1,Australia,100,Minimal,11,50,Pre-Test,Control,Pre-Test,14/10/2020 22:43,23,Female,Regional Vic,Australia,No,No,Yes
P1,Australia,100,Minimal,13,20,Pre-Test,Control,Pre-Test,14/10/2020 22:43,23,Female,Regional Vic,Australia,No,No,Yes
P1,Australia,100,Minimal,15,50,Pre-Test,Control,Pre-Test,14/10/2020 22:43,23,Female,Regional Vic,Australia,No,No,Yes
P1,Australia,100,High,17,-50,Pre-Test,Control,Pre-Test,14/10/2020 22:43,23,Female,Regional Vic,Australia,No,No,Yes
P1,Australia,100,Low,19,36,Pre-Test,Control,Pre-Test,14/10/2020 22:43,23,Female,Regional Vic,Australia,No,No,Yes
P1,Australia,100,Low,21,-29,Pre-Test,Control,Pre-Test,14/10/2020 22:43,23,Female,Regional Vic,Australia,No,No,Yes
P1,Australia,100,High,23,-50,Pre-Test,Control,Pre-Test,14/10/2020 22:43,23,Female,Regional Vic,Australia,No,No,Yes
P1,Australia,100,High,25,50,Pre-Test,Control,Pre-Test,14/10/2020 22:43,23,Female,Regional Vic,Australia,No,No,Yes
P1,Australia,100,Low,27,50,Pre-Test,Control,Pre-Test,14/10/2020 22:43,23,Female,Regional Vic,Australia,No,No,Yes
P1,Australia,100,High,29,-50,Pre-Test,Control,Pre-Test,14/10/2020 22:43,23,Female,Regional Vic,Australia,No,No,Yes
P10,Australia,100,Low,1,-25,Pre-Test,Control,Pre-Test,15/10/2020 5:03,25,Female,Metro Melbourne,Australia,Yes,No,Yes
P10,Australia,100,Minimal,3,21,Pre-Test,Control,Pre-Test,15/10/2020 5:03,25,Female,Metro Melbourne,Australia,Yes,No,Yes
P10,Australia,100,High,5,18,Pre-Test,Control,Pre-Test,15/10/2020 5:03,25,Female,Metro Melbourne,Australia,Yes,No,Yes
P10,Australia,100,High,7,-38,Pre-Test,Control,Pre-Test,15/10/2020 5:03,25,Female,Metro Melbourne,Australia,Yes,No,Yes
P10,Australia,100,Minimal,9,33,Pre-Test,Control,Pre-Test,15/10/2020 5:03,25,Female,Metro Melbourne,Australia,Yes,No,Yes
P10,Australia,100,Minimal,11,15,Pre-Test,Control,Pre-Test,15/10/2020 5:03,25,Female,Metro Melbourne,Australia,Yes,No,Yes
P10,Australia,100,Minimal,13,23,Pre-Test,Control,Pre-Test,15/10/2020 5:03,25,Female,Metro Melbourne,Australia,Yes,No,Yes
P10,Australia,100,Minimal,15,-20,Pre-Test,Control,Pre-Test,15/10/2020 5:03,25,Female,Metro Melbourne,Australia,Yes,No,Yes
P10,Australia,100,High,17,-39,Pre-Test,Control,Pre-Test,15/10/2020 5:03,25,Female,Metro Melbourne,Australia,Yes,No,Yes
P10,Australia,100,Low,19,6,Pre-Test,Control,Pre-Test,15/10/2020 5:03,25,Female,Metro Melbourne,Australia,Yes,No,Yes
P10,Australia,100,Low,21,11,Pre-Test,Control,Pre-Test,15/10/2020 5:03,25,Female,Metro Melbourne,Australia,Yes,No,Yes
P10,Australia,100,High,23,-41,Pre-Test,Control,Pre-Test,15/10/2020 5:03,25,Female,Metro Melbourne,Australia,Yes,No,Yes
P10,Australia,100,High,25,37,Pre-Test,Control,Pre-Test,15/10/2020 5:03,25,Female,Metro Melbourne,Australia,Yes,No,Yes
P10,Australia,100,Low,27,0,Pre-Test,Control,Pre-Test,15/10/2020 5:03,25,Female,Metro Melbourne,Australia,Yes,No,Yes
P10,Australia,100,High,29,-45,Pre-Test,Control,Pre-Test,15/10/2020 5:03,25,Female,Metro Melbourne,Australia,Yes,No,Yes
P11,Australia,100,Low,1,-24,Pre-Test,Control,Pre-Test,15/10/2020 1:24,29,Female,Metro Melbourne,Australia,No,No,Yes
P11,Australia,100,Minimal,3,22,Pre-Test,Control,Pre-Test,15/10/2020 1:24,29,Female,Metro Melbourne,Australia,No,No,Yes
P11,Australia,100,High,5,27,Pre-Test,Control,Pre-Test,15/10/2020 1:24,29,Female,Metro Melbourne,Australia,No,No,Yes
P11,Australia,100,High,7,-50,Pre-Test,Control,Pre-Test,15/10/2020 1:24,29,Female,Metro Melbourne,Australia,No,No,Yes
P11,Australia,100,Minimal,9,24,Pre-Test,Control,Pre-Test,15/10/2020 1:24,29,Female,Metro Melbourne,Australia,No,No,Yes
P11,Australia,100,Minimal,11,17,Pre-Test,Control,Pre-Test,15/10/2020 1:24,29,Female,Metro Melbourne,Australia,No,No,Yes
P11,Australia,100,Minimal,13,18,Pre-Test,Control,Pre-Test,15/10/2020 1:24,29,Female,Metro Melbourne,Australia,No,No,Yes
P11,Australia,100,Minimal,15,23,Pre-Test,Control,Pre-Test,15/10/2020 1:24,29,Female,Metro Melbourne,Australia,No,No,Yes
P11,Australia,100,High,17,-50,Pre-Test,Control,Pre-Test,15/10/2020 1:24,29,Female,Metro Melbourne,Australia,No,No,Yes
P11,Australia,100,Low,19,-25,Pre-Test,Control,Pre-Test,15/10/2020 1:24,29,Female,Metro Melbourne,Australia,No,No,Yes
P11,Australia,100,Low,21,25,Pre-Test,Control,Pre-Test,15/10/2020 1:24,29,Female,Metro Melbourne,Australia,No,No,Yes
P11,Australia,100,High,23,-26,Pre-Test,Control,Pre-Test,15/10/2020 1:24,29,Female,Metro Melbourne,Australia,No,No,Yes
P11,Australia,100,High,25,50,Pre-Test,Control,Pre-Test,15/10/2020 1:24,29,Female,Metro Melbourne,Australia,No,No,Yes
P11,Australia,100,Low,27,1,Pre-Test,Control,Pre-Test,15/10/2020 1:24,29,Female,Metro Melbourne,Australia,No,No,Yes
P11,Australia,100,High,29,-28,Pre-Test,Control,Pre-Test,15/10/2020 1:24,29,Female,Metro Melbourne,Australia,No,No,Yes
P12,United Kingdom of Great Britain and Northern Ireland,100,Low,1,-29,Pre-Test,Control,Pre-Test,15/10/2020 1:53,26,Male,Metro Melbourne,United Kingdom of Great Britain and Northern Ireland,No,No,Yes
